,Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry,RMax,RNez
133,133,485,530,14,0,-83,9301,9094,5.80078125,5.9765625,20.0390625,5.80078125
134,134,597,551,-60,0,119,7343,8786,4.5703125,4.74609375,24.78515625,4.5703125
135,135,471,537,-40,0,67,6208,6296,4.04296875,4.21875,16.171875,4.04296875
136,136,511,649,-29,0,-77,9716,8509,4.39453125,4.5703125,11.42578125,4.39453125
137,137,701,477,10,0,-49,8307,7122,6.6796875,6.85546875,14.0625,6.6796875
138,138,494,575,50,0,151,3162,2333,2.98828125,3.1640625,12.83203125,2.98828125
139,139,680,657,54,0,106,3429,4715,3.515625,3.69140625,7.55859375,3.515625
140,140,666,567,-5,0,31,3417,2840,2.8125,2.98828125,5.09765625,2.8125
141,141,634,696,47,0,-114,12671,11959,8.4375,8.61328125,32.51953125,8.4375
142,142,742,476,33,0,170,8871,10220,12.83203125,13.0078125,29.35546875,12.83203125
143,143,545,546,-50,0,21,10762,12037,8.0859375,8.26171875,11.6015625,8.0859375
144,144,726,451,17,0,77,4031,5335,5.09765625,5.2734375,11.25,5.09765625
145,145,740,617,-20,0,71,9845,10885,8.0859375,8.26171875,21.26953125,8.0859375
146,146,539,690,-29,0,12,6852,7225,2.98828125,3.1640625,4.21875,2.98828125
147,147,710,504,-7,0,128,8771,10225,10.8984375,11.07421875,29.70703125,10.8984375
148,148,497,576,-53,0,-125,12171,10914,7.20703125,7.3828125,18.45703125,7.20703125
149,149,588,576,-25,0,178,5885,5533,5.9765625,6.15234375,28.65234375,5.9765625
150,150,723,638,44,0,-111,6049,6846,4.921875,5.09765625,27.94921875,4.921875
151,151,515,486,58,0,-173,12661,12981,12.48046875,12.65625,24.43359375,12.48046875
152,152,519,658,-30,0,63,7864,6611,3.8671875,4.04296875,15.64453125,3.8671875
